NCO_Code,Job_Title
8153.0111,Occupation
1111.0100,"Elected Official, Union Government"
1111.0200,"Elected Official, State Government"
1111.0300,"Elected Official, Local Bodies"
1111.9900,"Legislators, Other"
1112.0100,"Administrative Official, Union Government"
1112.0200,Diplomat
1112.0300,"Executive Officials, Union Government"
1112.0400,"Administrative Official, State Government"
1112.0500,"Executive Official, State Government"
1112.0600,"Administrative and Executive Officials, Quasi"
1112.0700,"Administrative & Executive Off icials, Quasi"
1112.0800,"Administrative and Executive Officials, Local"
1112.9900,"Senior Government Officials, Other"
1114.0100,Political Worker
1114.0200,"Senior Officials of Employers, Workers and Other"
1114.0300,"Director, Disaster Management Services"
1114.9900,"Senior Officials of Special Interest Organizations,"
1120.0100,"Working Proprietor, Electricity"
1120.0200,"Working Proprietor, Gas"
1120.0300,"Working Proprietor, Water Supply"
1120.0400,"Director, Electricity"
1120.0500,"Director, Gas"
1120.0600,"Director, Water Supply"
1120.0700,"Director, Bank"
1120.0800,"Director, Insurance"
1120.0900,"Working Proprietor, Mines/Proprietor, Mines"
1120.1000,"Working Proprietor, Quarry/Proprietor, Quarry"
1120.1100,"Working Proprietor, Well Drilling/Proprietor,"
1120.1200,"Working Proprietor, Construction/Proprietor,"
1120.1300,"Director, Construction"
1120.1400,"Director, Mines"
1120.1500,"Director, Quarry"
1120.1600,"Director, Well Drilling"
1120.1700,"Working Proprietor, Manufacturing/Proprietor,"
1120.1800,Director Manufacturing
1120.1900,"Working Proprietor, Wholesale Trade/Proprietor,"
1120.2000,"Working Proprietor, Retail Trade/Proprietor,"
1120.2100,"Director, Wholesale Trade"
1120.2200,"Director, Retail Trade"
1120.2300,"Working Proprietor, Transport"
1120.2400,"Director, Transport"
1120.2500,"Director, Communication"
1120.2600,"Director, Airport"
1120.2700,"Working Proprietor, Storage and Warehousing"
1120.2800,"Director, Storage and Warehousing"
1120.2900,"Working Proprietor, Lodging and Catering"
1120.3000,"Director, Lodging and Catering Services/Director"
1120.3100,Executive Chef
1120.3200,"Working Proprietor, Recreation and"
1120.3300,"Director, Recreation and Entertainment"
1120.3400,"Station Director, Radio/TV"
1120.3401,Account Director ( Advertising Agency)
1120.3402,Sales Director (Media Org)
1120.3500,"Working Proprietor, Other Services"
1120.3600,"Director, Other Services"
1120.3700,"Director, Museum/Zoo"
1120.3800,Chief Librarian
1120.3900,"Principal, College"
1120.9900,"Managing Directors and Chief Executives, Others"
1211.0100,"General Manager, Bank"
1211.0200,"General Manager, Insurance"
1211.0300,"Purser, Ship"
1211.9900,"Finance Managers, Others"
1212.0100,Personnel Manager
1212.9900,"Personnel and Industrial Relations Managers,"
1213.0100,"Manager, Automotive Service"
1213.0101,Quality Assurance Standards In -Charge
1213.0102,Manager – Customer Quality
1213.0200,"Manager, Automotive Service Station"
1213.0201,Area Service Manager
1213.0202,Territory Service Manager
1213.9900,"Managers, Other Services"
1219.0100,"Manager, Import and Export"
1219.0101,Export Manager
1219.0200,"Manager, Health Club/Manager, Fitness"
1221.0100,Sales Manager (Wholesale Trade)
1221.0200,Sales Manager (Retail Trade)
1221.0301,Home Delivery Manager
1221.0401,Territory Sales Manager (Broadband)
1221.0501,Territory Sales Manager (Prepaid)
1221.0601,Sales Co -Ordinator (Media Org)
1221.0602,Sales Manager (Media Org)
1221.9900,"Sales and Marketing Managers, Other"
1222.0100,"Manager, Advertising and Promotion"
1222.0102,Advertising Operations Co -Ordinator (Digital)
1222.0200,"Manager, Fashion/Fashion Manager"
1222.9900,Advertising and Public Relations Department
1223.0101,Manager Testing Facility
1223.0102,Manager Material Testing
1223.0201,Research Associate
1311.0100,"General Manager, Plantation"
1311.0200,"General Manager, Horticulture"
1311.0300,"General Manager, Agricultural Farm"
1311.0400,"General Manager, Livestock Farm"
1311.0500,"General Manager, Dairy Farm"
1311.0600,"General Manager, Poultry"
1311.0700,"Manager, Agricultural Farm"
1311.0800,"Manager, Plantation"
1311.0900,"Manager, Nursery"
1311.0901,Rubber Nursery Manager
1311.1000,"Manager, Aerial Planting and Cultivation"
1311.1100,"Manager, Orchard"
1311.1200,"Manager, Horticulture Farm"
1311.1300,"Manager, Livestock Farm"
1311.1400,"Manager, Dairy Farm"
1311.1500,"Manager, Poultry Farm"
1311.9900,"Agricultural and Forestry Production Managers,"
1321.0100,"Manager, Electricity"
1321.0200,Terminal Manager
1321.0300,"Manager, Gas"
1321.0400,"Manager, Water Supply"
1321.0500,"Manager, Food Processing Plant"
1321.0600,"Manager, Manufacturing"
1321.0700,"General Manager, Electricity"
1321.0800,"General Manager, Gas"
1321.0900,"General Manager, Water Supply"
1321.1000,"General Manager, Manufacturing"
1321.9900,"Manufacturing Managers, Other"
1322.0100,"Manager, Mine"
1322.0200,"Manager, Quarry"
1322.0300,"Manager, Well Drilling"
1322.0400,"General Manager, Mine"
1322.0500,"General Manager, Quarry"
1322.0600,"General Manager, Well Drilling"
1322.9900,"Mining Managers, Other"
1323.0100,"Manager, Construction/Manager Construction"
1323.0200,"Manager, Land Survey"
1323.0300,"General Manager, Construction/General"
1323.9900,"Construction Managers, Other"
1324.0100,"Manager, Material Control/Manager Materials"
1324.0101,Manager Supplier Quality
1324.0102,Material Co -Ordination Manager
1324.0103,Manager Vendor Development
1324.0200,"Manager, Transport"
1324.0300,"Station Master, Roadways"
1324.0400,"Traffic Inspector, Motor Transport"
1324.0500,"Manager, Traffic"
1324.0600,"Traffic Inspector, Railway"
1324.0700,"Traffic Inspector, Tram"
1324.0800,"Manager, Flight Operation"
1324.0900,Aerodrome Officer
1324.1000,"Flight Operation Officer, Air Service"
1324.1100,"Traffic Officer, Air Service/Traffic Controller"
1324.1200,"Manager, Storage and Warehousing"
1324.1201,Warehouse Supervisor
1324.1300,"Goods Supervisor, Railway"
1324.1400,"Goods Supervisor, Road Transport"
1324.1500,"Station Master, Railway"
1324.1600,"Platform Inspector, Railway"
1324.1700,"Rates Inspector, Railway"
1324.1800,"Depot Starter, Tram"
1324.1900,"Section Controller, Railway"
1324.2000,"Accident Officer, Tram"
1324.2100,"General Manager, Transport"
1324.2200,"General Manager, Storage and Warehousing"
1324.9900,"Supply, Distribution and Related Managers and"
1330.0100,"Manager, Communication"
1330.0101,Communication Analyst
1330.0200,"Contract Officer, Telephone/Liaising Officer/"
1330.0300,Post Master
1330.0600,"General Manager, Communication"
1330.0701,Cluster Manager
1330.9900,Information and Communication Technology
1345.0100,Headmaster
1346.0100,"Manager, Bank"
1346.0200,"Manager, Insurance"
1346.9900,Financial and Insurance Service Branch
1411.0100,"Manager, Lodging and Catering"
1411.0200,"General Manager, Lodging and Catering Services"
1411.9900,"Hotel Managers, Others"
1412.0100,"Manager, Fast Food Service"
1412.9900,"Restaurant Managers, Other"
1420.0100,"Manager, Wholesale Trade"
1420.0200,"Manager, Retail Trade"
1420.0300,"Manager, Export"
1420.0400,"General Manager, Wholesale Trade/Senior"
1420.0500,"General Manager, Retail Trade, Senior Manager,"
1420.9900,"Retail and Wholesale Trade Managers, Other"
1431.0100,"General Manager, Recreation and Entertainment"
1431.9900,"Sports, Recreation and Cultural Centre Manager,"
2111.0100,"Physicist, General"
2111.0200,"Physicist, Mechanics"
2111.0300,"Physicist, Heat"
2111.0400,"Physicist, Light"
2111.0500,"Physicist, Sound"
2111.0600,"Physicist, Electricity and Magnetism"
2111.0700,"Physicist, Electronics"
2111.0800,"Physicist, Nuclear"
2111.0900,Astronomer
2111.1000,Metrologist
2111.1100,Material Scientist
2111.9900,"Physicists and Astronomers, Other"
2112.0100,Meteorologist
2112.9900,"Meteorologists, Other"
2113.0100,"Chemist, General"
2113.0200,"Chemist, Organic"
2113.0300,"Chemist, Inorganic"
2113.0400,"Chemist, Physical"
2113.0500,"Chemist, Analytical"
2113.0600,"Chemist, Industrial"
2113.0601,Quality Control Chemist
2113.0621,Lab Chemist – Finished Product Testing
2113.0622,Lab Chemist – Incoming Raw Material Testing
2113.0623,Lab Chemist – Compound Testing – Batch
2113.0624,Lab Chemist – Cured Compound Testing
2113.0800,"Chemist, Forensic Science"
2113.0901,Quality Assurance Chemist
2113.9900,"Chemists, Other"
2114.0100,Geologist
2114.0200,Petrologists
2114.0300,Palaeontologist
2114.0400,Geophysicist
2114.0500,Hydrologist
2114.0600,Mineralogist
2114.0700,Seismologist
2114.0800,Oceanographer
2114.1500,"Geologist, Petroleum"
2114.5500,"Hydrographer, Waterworks"
2114.9900,"Geologists and Geophysicists, Other"
2120.0100,Mathematician
2120.0200,Actuary
2120.0300,Statistician
2120.0400,"Statistician, Applied"
2120.0500,Operation Research Analyst
2120.0501,Associate – Analytics
2120.9900,"Mathematicians, Actuaries and Statisticians,"
2131.0100,"Biologist, General"
2131.0200,Marine Biologist
2131.0300,Cytologist
2131.0400,"Botanist, General"
2131.0500,Economic Botanist
2131.0600,Plant Breeder
